epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.283,1.01676,2.20219,1.22187,0.51933,0.58504,0.55059,0.4214,0.87439,1.26685,1.11318,0.00333031,0.00333031,0.00333031
2,906.367,0.97777,1.47082,1.16576,0.56044,0.58363,0.57119,0.4351,0.88589,1.20257,1.12903,0.0065317,0.0065317,0.0065317
3,1346.81,1.04402,1.39972,1.20063,0.49416,0.46699,0.44926,0.30009,1.21268,1.5952,1.38659,0.0096011,0.0096011,0.0096011
4,1782.32,1.07383,1.35194,1.22379,0.59044,0.58715,0.5994,0.45015,0.92961,1.10667,1.16657,0.009406,0.009406,0.009406
5,2218.26,1.01188,1.23032,1.18892,0.59532,0.61904,0.63019,0.48616,0.87779,1.01356,1.13195,0.009208,0.009208,0.009208
6,2649.84,0.97314,1.16273,1.16721,0.62462,0.61369,0.64085,0.50197,0.84292,0.98511,1.10264,0.00901,0.00901,0.00901
7,3081.2,0.9444,1.1174,1.15089,0.65219,0.65701,0.68745,0.54949,0.78273,0.88855,1.06598,0.008812,0.008812,0.008812
8,3520.23,0.92536,1.08985,1.14052,0.68179,0.66041,0.70774,0.57225,0.76163,0.8456,1.05137,0.008614,0.008614,0.008614
9,3958.94,0.91004,1.05833,1.13162,0.66846,0.68237,0.70996,0.58152,0.74008,0.81607,1.03452,0.008416,0.008416,0.008416
10,4392.43,0.89686,1.03669,1.12357,0.6733,0.69498,0.73073,0.59692,0.72742,0.79194,1.02964,0.008218,0.008218,0.008218
11,4814.47,0.88134,1.01664,1.11492,0.68288,0.70803,0.73839,0.60716,0.70904,0.76906,1.01594,0.00802,0.00802,0.00802
12,5241.37,0.87185,1.00226,1.10965,0.68217,0.71094,0.74651,0.61981,0.69885,0.75667,1.01153,0.007822,0.007822,0.007822
13,5676.73,0.86358,0.9853,1.10487,0.68303,0.72257,0.75017,0.62452,0.68609,0.74534,1.00421,0.007624,0.007624,0.007624
